Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,Class
324d917dab2b,70319.314828,50162.077531,51443.895491,94419.514136,58160.282319,19910.635363,82446.126658,68570.517465,36306.726363,26570.217663,34317.861046,17062.564507,96966.930592,73384.321155,41382.756367,86532.819190,3465.537054,70372.565516,92664.363856,84540.122958,4362.468432,54392.987516,43785.945501,84655.593768,91677.883781,50130.787146,69229.432841,24753.583651,21890.357964,2488.147784,57419.020099,21965.098975,67032.197313,62174.350951,67467.755296,13367.124707,55593.378796,70976.469306,71845.508275,97939.582260,91562.520006,43894.353717,99019.020558,16736.522987,54762.999826,12985.268739,44788.164663,75943.250011,53814.278112,27030.336413,3206.744049,18345.155657,97589.061920,72435.249656,15435.540028,59150.616104,0
075d46ac723c,22436.243050,87532.838731,60735.085930,88179.926527,4927.941673,66237.382868,53269.945613,8266.221414,13507.069528,89302.365924,34217.520292,18863.561270,81354.643647,57433.048246,57675.287615,91600.513153,70649.315627,49905.292442,19635.277267,82421.111854,74533.652358,34767.840312,24283.223086,21550.687070,865.900604,96620.657008,53734.256777,93025.838386,7636.006412,70583.431289,65084.534147,11246.253956,67591.900870,68834.224803,49145.446125,38140.316754,640.803496,79374.310313,70219.589024,48005.274673,37265.568323,91447.145403,84362.041753,92685.364544,17080.508389,23408.564477,82187.010649,4407.342273,9592.332164,47904.296995,94791.714990,34242.500179,60023.362586,80570.909264,92169.489181,41640.472718,1
7df92b5c42b3,61262.108412,27075.958970,53026.235903,69840.927856,87677.866610,8067.301596,6207.939822,81393.943390,82679.004609,51865.778724,83848.086009,71813.581648,44510.996369,11083.686240,29805.391609,89340.746549,6664.778529,36849.547494,25253.084083,91430.376697,32380.135598,64008.995812,80325.034542,38812.865258,48404.384846,64530.960900,55343.769521,32606.379012,19998.230427,49778.783741,21061.286559,12006.654697,50864.768541,68158.035246,51999.903750,11826.298151,91901.757922,16717.319437,52624.525586,99681.656710,43496.297332,13982.868908,48213.514474,43133.185511,8551.973453,59933.175230,57325.372224,77650.888382,49106.323210,17594.796864,54034.727090,31519.397359,31798.161020,47129.121660,88157.652454,94351.638184,1
2fbcb56286eb,37253.362370,65436.044415,68376.035405,84102.295863,26799.501834,45610.045637,48450.133638,68290.595575,35077.781309,17530.628338,43050.101725,33660.666916,63091.728284,91275.310747,65881.073937,97169.239922,5472.530086,42795.099566,37479.793444,54266.495770,35263.386475,56209.665069,74982.636245,64848.929397,91090.036222,80097.571066,71969.603587,89444.943053,93741.774376,54810.704685,24578.669609,92851.960185,15268.484075,84235.371037,83007.126504,1113.085821,39608.402186,13270.055671,24958.267507,87601.715386,39364.702534,36775.981212,85098.779656,16995.646659,78470.215943,8344.272970,90747.013521,73395.681871,74578.743589,81940.796324,55255.125507,51794.832432,58536.176919,18536.652022,72736.564301,57531.093815,0
95a32c1c1175,97117.858376,93452.538601,18672.490453,56029.470024,65709.420910,36732.761003,51865.028266,36394.742253,32850.178455,67664.224716,73084.466173,15695.369039,74639.122335,62288.205879,62271.302708,30235.771258,53320.467968,43334.322392,19440.994361,9048.847625,65882.318018,10860.209465,48532.058876,22091.507315,35145.926810,73125.499565,35221.871383,17904.591792,12018.921052,45618.437376,80934.403632,38008.093907,74895.610673,98160.822878,23315.412011,26404.134489,93167.157286,53952.358627,94273.285530,50200.475312,65190.454188,44479.549097,88298.055781,56177.054617,85802.341864,10915.516904,91259.182854,65747.825538,88447.482644,97287.403766,84789.668236,48385.327007,65055.176179,75646.261746,9926.775840,85226.174532,0
94a46197ecc2,59975.542088,6002.438488,682.450217,80396.542429,16676.437622,17404.683405,19195.533608,408.032486,81804.625534,57396.215239,99622.728972,55065.112439,69807.848802,94289.306952,36518.376842,24708.702651,9695.946184,5887.020122,15544.376033,52172.151748,53846.066738,88822.666791,45700.942116,72664.838465,95849.979504,51736.077773,40539.130238,37599.842415,8034.189220,77779.422889,13075.050509,14820.550754,2819.953460,19070.648480,44968.135393,96506.433556,42254.058274,73599.146516,88270.106235,10250.958725,2621.753033,69821.120158,41781.553593,5044.789616,39645.377456,22404.519922,96873.632681,64043.986058,19107.900863,17895.896052,39735.177757,47626.853815,9596.830065,56701.862721,8683.377982,19603.964452,0
d2948e3a73e0,59536.187583,96212.780918,78587.894566,95164.907526,93085.924359,54651.933910,35224.199009,80505.792716,53841.267323,23443.484990,6345.559609,36487.218160,26885.121968,53513.617074,97702.266123,90704.140480,62332.237315,29304.283541,46630.559491,96880.689431,72958.831105,97907.059939,48412.306889,57356.082430,80059.280463,30799.334222,4635.644499,72329.408062,12925.463071,49277.939544,34217.654431,72445.375680,95063.577505,10464.311826,93669.388310,60953.300631,85723.504929,74119.641679,52932.609172,44233.322508,11648.079476,66882.855244,78920.488355,87566.208251,42586.005337,10597.640797,149.278622,43978.724544,23627.979915,30138.879111,46456.925257,42669.275395,45197.331091,79268.734968,81362.498885,44962.572764,1
219fd8a3e9f7,97189.599863,12104.513967,43839.972475,15665.714623,99658.223530,11522.739038,92513.269494,56713.406222,68493.160917,34278.636810,17028.155085,17138.669997,36562.024403,71850.840710,97951.005694,18491.274938,24164.092840,16499.212690,53610.937052,75072.580516,26580.541946,15759.164379,34933.450796,90728.278013,21984.638851,87544.655871,36467.681415,29098.312072,25983.481883,60117.754550,84201.424920,901.878671,26391.843460,86328.709331,11942.788959,56156.951331,13004.536268,95264.951111,93107.904569,11326.041321,71820.879010,28629.540960,3018.394693,84384.316386,28472.582879,54397.523753,48881.826157,90312.505010,11905.797379,18270.079499,44958.220587,87054.153263,85872.339572,65488.579473,14559.444980,78708.142253,0
e44ce89a873c,72220.388182,35706.222899,9172.530356,60654.775684,36908.197859,11146.294796,61090.430142,9453.037044,35170.211130,92253.234039,96706.761649,67119.098294,67270.596052,27668.376952,93384.679920,49407.506681,35345.576276,15355.217558,93600.399174,10924.078214,23063.983830,80119.421674,15221.114897,79413.664177,82557.369435,25158.456479,46022.011839,69212.031431,39059.848439,4728.903568,99835.424363,58860.279650,64239.455241,41578.060140,47387.209672,85013.001214,78531.256599,22079.243559,98012.653489,45577.628009,65583.665567,98446.598274,22340.030297,38912.357882,95322.798178,60506.897038,14981.552706,55499.970074,69137.369357,27836.235668,57621.047130,93769.091006,84261.282216,92217.580519,61726.692899,9107.157728,1
c90af41869dc,32220.400263,58330.926155,55605.871322,7197.829074,86166.530338,29287.678570,7203.457284,21534.885889,63839.406847,32220.481515,2792.877577,70287.713127,30575.023172,62723.164255,47282.415241,62605.272147,80827.555597,15448.878570,14550.311660,21281.209603,36878.217817,14148.473818,52961.414570,17651.487612,62946.660019,91056.340814,29329.067492,75221.387802,51449.396326,82435.478191,87815.875922,6261.434354,88599.546325,48047.054959,71908.481330,80317.775511,64252.923473,3278.651156,99068.553000,18564.325867,69223.252749,10148.298283,6207.022832,57437.007388,6418.873585,28589.715414,30794.102300,46478.099853,5853.444725,80200.964937,25017.811336,98593.193373,33548.643584,58893.891963,40929.924838,31353.595863,0
